title,genres,rating,platform
Dragon Ball Z,Comedy,2.9,Hulu
My Hero Academia,Romance,2.1,Hulu
Tokyo Ghoul,"Thriller, Mystery, Action",5.3,Disney+
Itaewon Class,"Sci-Fi, Horror",5.9,Amazon Prime
The Shawshank Redemption,"Comedy, Sci-Fi, Action",7.5,Viki
Hotel del Luna,Action,3.2,Amazon Prime
The Matrix,Horror,6.7,Viki
Start-Up,Supernatural,9.9,Crunchyroll
Attack on Titan,"Slice of Life, Adventure, Romance",1.5,Viki
Demon Slayer,Romance,3.5,Crunchyroll
Attack on Titan,"Sci-Fi, Supernatural, Slice of Life",6.3,Viki
Inception,Comedy,3.7,Crunchyroll
Pulp Fiction,Sci-Fi,3.6,Viki
The Shawshank Redemption,Fantasy,8.4,Crunchyroll
Jujutsu Kaisen,"Horror, Drama",1.8,Netflix
The Matrix,Mystery,3.3,Crunchyroll
Hotel del Luna,"Comedy, Fantasy",9.8,Amazon Prime
The Dark Knight,Supernatural,7.4,Viki
The Silence of the Lambs,"Fantasy, Comedy, Action",1.7,Viki
The Godfather,"Adventure, Slice of Life, Thriller",3.0,Amazon Prime
The Shawshank Redemption,Drama,5.2,Hulu
Start-Up,"Sci-Fi, Drama, Supernatural",7.3,Disney+
The Godfather,"Adventure, Drama, Slice of Life",1.3,Hulu
Forrest Gump,"Horror, Mystery, Supernatural",4.3,Hulu
Tokyo Ghoul,Mystery,4.5,Crunchyroll
Death Note,Comedy,2.5,Disney+
Jujutsu Kaisen,"Comedy, Mystery",5.7,Netflix
Fullmetal Alchemist,"Romance, Sci-Fi, Slice of Life",3.1,Amazon Prime
The Dark Knight,"Comedy, Adventure",8.8,Crunchyroll
Inception,Mystery,2.9,Viki
It's Okay to Not Be Okay,Drama,6.9,Disney+
Descendants of the Sun,"Slice of Life, Action, Horror",8.1,Viki
Hotel del Luna,"Comedy, Action",2.9,Hulu
Goodfellas,"Horror, Adventure, Mystery",7.2,Viki
Descendants of the Sun,"Supernatural, Fantasy",7.7,Crunchyroll
Descendants of the Sun,"Fantasy, Horror",8.3,Viki
Death Note,Fantasy,7.3,Crunchyroll
Attack on Titan,Action,9.6,Crunchyroll
Death Note,"Drama, Horror",4.6,Netflix
Squid Game,Adventure,3.0,Amazon Prime
The Shawshank Redemption,"Mystery, Action",9.5,Crunchyroll
Inception,Action,3.3,Amazon Prime
The Matrix,"Romance, Supernatural, Adventure",1.1,Crunchyroll
Fullmetal Alchemist,"Horror, Fantasy",8.1,Crunchyroll
Forrest Gump,"Comedy, Horror",2.0,Crunchyroll
The Godfather,Supernatural,3.6,Disney+
It's Okay to Not Be Okay,Sci-Fi,1.5,Viki
The Matrix,"Action, Drama",9.2,Crunchyroll
It's Okay to Not Be Okay,Mystery,3.7,Netflix
My Hero Academia,"Mystery, Slice of Life, Fantasy",3.8,Netflix
Demon Slayer,"Comedy, Sci-Fi",2.3,Hulu
My Hero Academia,"Fantasy, Supernatural",4.0,Hulu
The Shawshank Redemption,"Horror, Adventure, Mystery",1.9,Amazon Prime
The Shawshank Redemption,Slice of Life,7.6,Amazon Prime
One Piece,"Sci-Fi, Adventure, Supernatural",3.9,Disney+
Naruto,Romance,9.0,Viki
One Piece,"Slice of Life, Supernatural",6.2,Disney+
The Matrix,"Thriller, Adventure",9.5,Hulu
Descendants of the Sun,"Thriller, Mystery",5.5,Crunchyroll
Forrest Gump,"Comedy, Mystery",2.6,Amazon Prime
Demon Slayer,"Supernatural, Thriller, Mystery",6.8,Disney+
Goblin,Romance,8.5,Disney+
Descendants of the Sun,"Thriller, Romance, Comedy",8.7,Hulu
Tokyo Ghoul,"Thriller, Supernatural",4.3,Viki
The Matrix,Action,3.5,Disney+
Forrest Gump,Drama,3.7,Amazon Prime
Goodfellas,Mystery,4.0,Crunchyroll
The Godfather,"Thriller, Mystery",9.1,Netflix
Itaewon Class,Adventure,5.4,Netflix
Itaewon Class,"Romance, Supernatural, Thriller",1.6,Netflix
The Godfather,Romance,4.1,Hulu
Goodfellas,"Slice of Life, Fantasy",4.8,Crunchyroll
Itaewon Class,"Romance, Supernatural, Sci-Fi",5.6,Hulu
The Matrix,Drama,1.7,Netflix
Squid Game,"Slice of Life, Fantasy",7.4,Disney+
Vincenzo,Sci-Fi,7.1,Amazon Prime
Fullmetal Alchemist,"Horror, Slice of Life",3.8,Crunchyroll
Inception,Slice of Life,9.0,Disney+
Fullmetal Alchemist,"Supernatural, Adventure",2.2,Hulu
One Piece,"Adventure, Horror",1.8,Viki
Inception,"Fantasy, Mystery",5.7,Viki
Inception,Romance,9.5,Crunchyroll
Crash Landing on You,"Supernatural, Slice of Life, Adventure",5.3,Crunchyroll
Pulp Fiction,Comedy,1.7,Netflix
Squid Game,"Horror, Adventure",1.0,Viki
Hotel del Luna,"Fantasy, Drama",3.6,Netflix
Pulp Fiction,"Romance, Drama, Action",4.9,Netflix
Demon Slayer,"Action, Sci-Fi, Adventure",1.1,Viki
Goodfellas,Horror,3.7,Disney+
Crash Landing on You,Sci-Fi,7.2,Crunchyroll
Goblin,"Drama, Mystery",5.8,Hulu
My Hero Academia,"Mystery, Sci-Fi, Fantasy",7.1,Netflix
The Dark Knight,"Sci-Fi, Romance, Action",4.5,Viki
Tokyo Ghoul,"Sci-Fi, Adventure",2.4,Hulu
Inception,"Mystery, Slice of Life, Action",6.5,Crunchyroll
The Dark Knight,Adventure,5.8,Viki
Tokyo Ghoul,"Action, Sci-Fi",3.2,Crunchyroll
Squid Game,Supernatural,3.5,Viki
Forrest Gump,"Sci-Fi, Mystery, Romance",9.1,Hulu
Forrest Gump,"Thriller, Romance",2.4,Crunchyroll
Pulp Fiction,"Sci-Fi, Thriller, Adventure",8.0,Crunchyroll
Attack on Titan,"Mystery, Horror",9.1,Crunchyroll
Hotel del Luna,"Slice of Life, Horror",6.9,Hulu
Crash Landing on You,Thriller,4.4,Amazon Prime
Inception,Mystery,8.5,Viki
The Dark Knight,Adventure,6.5,Hulu
The Godfather,"Comedy, Action",7.4,Disney+
Crash Landing on You,Fantasy,4.3,Viki
Fullmetal Alchemist,"Sci-Fi, Fantasy",9.8,Hulu
One Piece,"Romance, Thriller",7.4,Amazon Prime
Pulp Fiction,Adventure,7.6,Amazon Prime
Attack on Titan,"Mystery, Drama, Action",4.6,Netflix
The Silence of the Lambs,"Fantasy, Romance",2.5,Viki
Crash Landing on You,"Action, Adventure",9.0,Crunchyroll
Goodfellas,"Action, Mystery",8.0,Crunchyroll
Goblin,"Sci-Fi, Supernatural",7.1,Crunchyroll
Inception,Supernatural,3.8,Viki
Death Note,Thriller,9.0,Disney+
Tokyo Ghoul,"Romance, Comedy",1.0,Crunchyroll
The Dark Knight,"Slice of Life, Mystery, Adventure",5.8,Viki
Forrest Gump,"Thriller, Horror, Drama",3.6,Amazon Prime
Inception,Horror,8.6,Crunchyroll
Death Note,"Slice of Life, Comedy",1.8,Amazon Prime
Jujutsu Kaisen,"Adventure, Horror, Thriller",3.7,Viki
The Silence of the Lambs,"Horror, Mystery",3.5,Netflix
Forrest Gump,"Comedy, Fantasy",7.6,Amazon Prime
My Hero Academia,Horror,4.5,Crunchyroll
Dragon Ball Z,"Comedy, Drama, Supernatural",5.7,Hulu
My Hero Academia,"Comedy, Adventure",3.6,Disney+
Tokyo Ghoul,"Comedy, Drama, Mystery",8.9,Netflix
Forrest Gump,"Comedy, Drama",9.4,Crunchyroll
Forrest Gump,"Mystery, Supernatural, Fantasy",4.4,Viki
Forrest Gump,Horror,7.8,Hulu
Forrest Gump,Adventure,1.9,Crunchyroll
Fullmetal Alchemist,Supernatural,7.7,Viki
The Silence of the Lambs,"Slice of Life, Romance, Adventure",9.7,Amazon Prime
Jujutsu Kaisen,Horror,9.2,Crunchyroll
Attack on Titan,Action,7.8,Amazon Prime
Descendants of the Sun,"Horror, Comedy",2.4,Viki
Tokyo Ghoul,"Supernatural, Adventure, Mystery",8.2,Netflix
The Silence of the Lambs,"Supernatural, Comedy, Mystery",4.1,Netflix
Jujutsu Kaisen,"Sci-Fi, Comedy",2.6,Disney+
Forrest Gump,"Sci-Fi, Thriller, Fantasy",5.8,Viki
Tokyo Ghoul,Thriller,8.3,Hulu
Squid Game,Slice of Life,1.1,Amazon Prime
Death Note,"Slice of Life, Sci-Fi",5.2,Netflix
Hotel del Luna,Action,7.1,Crunchyroll
The Matrix,"Drama, Comedy",8.4,Crunchyroll
Start-Up,"Sci-Fi, Slice of Life",3.8,Netflix
Goblin,"Mystery, Sci-Fi, Drama",2.4,Hulu
It's Okay to Not Be Okay,Supernatural,7.0,Disney+
Start-Up,"Horror, Thriller, Romance",2.4,Netflix
It's Okay to Not Be Okay,Mystery,2.0,Crunchyroll
Attack on Titan,"Supernatural, Horror",2.3,Netflix
Naruto,"Thriller, Adventure",1.7,Amazon Prime
Itaewon Class,Supernatural,9.3,Amazon Prime
The Silence of the Lambs,"Fantasy, Drama, Supernatural",8.4,Netflix
The Shawshank Redemption,"Fantasy, Thriller",8.0,Disney+
Tokyo Ghoul,Comedy,4.0,Amazon Prime
Jujutsu Kaisen,"Supernatural, Adventure",4.5,Netflix
Itaewon Class,"Fantasy, Mystery",4.2,Disney+
Inception,Supernatural,8.8,Disney+
Dragon Ball Z,"Mystery, Fantasy",2.1,Viki
Crash Landing on You,"Thriller, Action, Romance",2.0,Crunchyroll
Vincenzo,"Fantasy, Horror",6.8,Amazon Prime
Hotel del Luna,"Action, Mystery",9.7,Netflix
The Silence of the Lambs,"Thriller, Romance",5.2,Netflix
Forrest Gump,Slice of Life,4.7,Netflix
The Silence of the Lambs,Slice of Life,7.0,Crunchyroll
The Matrix,"Thriller, Supernatural",7.0,Viki
Itaewon Class,Supernatural,7.3,Viki
Vincenzo,Horror,9.1,Viki
Death Note,Sci-Fi,3.0,Viki
The Silence of the Lambs,"Drama, Slice of Life, Horror",7.3,Crunchyroll
Fullmetal Alchemist,"Drama, Thriller",2.0,Viki
Squid Game,"Comedy, Fantasy",1.1,Viki
My Hero Academia,"Supernatural, Mystery, Thriller",8.2,Hulu
Naruto,"Drama, Slice of Life",8.7,Disney+
Inception,"Drama, Slice of Life",4.0,Hulu
Itaewon Class,"Horror, Romance",9.0,Netflix
The Silence of the Lambs,"Horror, Slice of Life, Comedy",7.4,Netflix
The Matrix,"Slice of Life, Horror",5.8,Hulu
The Shawshank Redemption,Horror,2.8,Crunchyroll
The Godfather,"Drama, Fantasy, Thriller",5.1,Hulu
Start-Up,"Fantasy, Horror, Drama",3.7,Netflix
Demon Slayer,Fantasy,5.1,Hulu
Dragon Ball Z,"Fantasy, Thriller",8.6,Disney+
Vincenzo,"Adventure, Mystery",4.0,Hulu
Death Note,"Action, Comedy",8.5,Viki
Squid Game,"Drama, Fantasy, Sci-Fi",8.2,Viki
Jujutsu Kaisen,"Drama, Fantasy",4.2,Amazon Prime
Death Note,Drama,7.4,Crunchyroll
The Shawshank Redemption,"Adventure, Thriller",2.8,Netflix
Goblin,"Mystery, Romance",4.6,Hulu
Squid Game,"Adventure, Fantasy",6.5,Viki
Hotel del Luna,Romance,3.4,Viki
Goblin,"Supernatural, Sci-Fi",7.2,Crunchyroll
The Silence of the Lambs,"Slice of Life, Adventure",4.7,Hulu
Dragon Ball Z,"Mystery, Supernatural, Adventure",2.7,Hulu
The Dark Knight,"Mystery, Slice of Life, Fantasy",2.7,Viki
The Godfather,"Slice of Life, Romance",4.0,Crunchyroll
Pulp Fiction,"Fantasy, Horror, Slice of Life",7.5,Crunchyroll
The Matrix,"Action, Slice of Life, Comedy",8.9,Disney+
The Silence of the Lambs,"Supernatural, Fantasy",7.8,Disney+
Descendants of the Sun,"Sci-Fi, Horror, Mystery",5.4,Amazon Prime
Descendants of the Sun,"Mystery, Fantasy",2.5,Crunchyroll
Squid Game,"Mystery, Adventure",5.6,Hulu
The Shawshank Redemption,Mystery,8.9,Hulu
Goblin,Sci-Fi,3.9,Viki
The Shawshank Redemption,"Action, Drama",2.4,Viki
Crash Landing on You,"Adventure, Supernatural, Mystery",2.0,Disney+
Goblin,Slice of Life,7.2,Viki
Demon Slayer,"Comedy, Supernatural",6.0,Viki
The Matrix,Adventure,1.7,Disney+
Forrest Gump,"Supernatural, Adventure, Action",3.9,Hulu
It's Okay to Not Be Okay,"Fantasy, Mystery",2.6,Amazon Prime
The Matrix,Sci-Fi,6.5,Hulu
The Matrix,"Drama, Fantasy",5.7,Viki
The Dark Knight,"Horror, Slice of Life, Supernatural",2.8,Amazon Prime
Crash Landing on You,Action,7.3,Disney+
Attack on Titan,Slice of Life,2.6,Hulu
Fullmetal Alchemist,"Drama, Supernatural, Thriller",7.3,Disney+
Dragon Ball Z,"Fantasy, Comedy, Action",3.3,Disney+
Naruto,"Sci-Fi, Adventure",9.0,Netflix
It's Okay to Not Be Okay,"Thriller, Fantasy, Comedy",2.6,Crunchyroll
My Hero Academia,"Romance, Adventure",7.6,Disney+
It's Okay to Not Be Okay,Supernatural,9.6,Viki
Attack on Titan,"Thriller, Supernatural",5.6,Disney+
Death Note,"Action, Comedy",3.9,Disney+
Inception,"Sci-Fi, Horror",1.6,Disney+
Demon Slayer,Supernatural,2.0,Disney+
Fullmetal Alchemist,Mystery,3.4,Hulu
Pulp Fiction,"Thriller, Romance",3.0,Crunchyroll
Tokyo Ghoul,"Drama, Action, Adventure",2.4,Hulu
The Godfather,"Comedy, Mystery, Slice of Life",2.4,Disney+
Forrest Gump,"Sci-Fi, Thriller",8.9,Netflix
Start-Up,"Fantasy, Supernatural, Horror",3.1,Amazon Prime
The Shawshank Redemption,Sci-Fi,8.6,Viki
Goblin,"Romance, Mystery",8.1,Disney+
Hotel del Luna,"Adventure, Horror",4.6,Disney+
Start-Up,Horror,2.4,Amazon Prime
The Shawshank Redemption,"Comedy, Romance",10.0,Crunchyroll
One Piece,"Thriller, Adventure",3.6,Disney+
Pulp Fiction,"Action, Comedy",9.9,Netflix
Naruto,"Comedy, Slice of Life",7.2,Hulu
Jujutsu Kaisen,"Fantasy, Horror",7.6,Disney+
Squid Game,Drama,4.8,Crunchyroll
Hotel del Luna,"Romance, Drama",10.0,Hulu
Fullmetal Alchemist,"Comedy, Slice of Life, Adventure",5.6,Viki
Demon Slayer,Supernatural,9.3,Hulu
Naruto,"Mystery, Horror, Drama",9.0,Amazon Prime
Start-Up,Thriller,6.5,Netflix
Itaewon Class,"Adventure, Fantasy",5.3,Disney+
Pulp Fiction,"Sci-Fi, Comedy",9.7,Hulu
Start-Up,"Comedy, Fantasy, Mystery",5.5,Disney+
Jujutsu Kaisen,"Sci-Fi, Romance, Thriller",2.0,Hulu
Goblin,"Sci-Fi, Drama",7.0,Amazon Prime
Goblin,"Sci-Fi, Comedy, Action",1.3,Hulu
The Silence of the Lambs,Slice of Life,6.9,Disney+
Itaewon Class,"Fantasy, Mystery",5.7,Disney+
Forrest Gump,"Drama, Adventure",5.3,Viki
One Piece,"Sci-Fi, Thriller, Drama",3.8,Hulu
The Dark Knight,"Slice of Life, Sci-Fi, Mystery",1.3,Disney+
Attack on Titan,Romance,7.8,Disney+
The Shawshank Redemption,"Mystery, Action",4.0,Amazon Prime
Itaewon Class,"Horror, Action",8.5,Disney+
Hotel del Luna,"Horror, Sci-Fi",6.8,Hulu
Hotel del Luna,"Thriller, Supernatural",3.0,Viki
Vincenzo,"Comedy, Slice of Life, Romance",8.9,Disney+
Start-Up,"Sci-Fi, Adventure, Romance",6.8,Viki
Attack on Titan,"Comedy, Thriller",4.3,Crunchyroll
Descendants of the Sun,"Mystery, Comedy",8.3,Disney+
Itaewon Class,"Horror, Thriller, Drama",3.4,Netflix
The Shawshank Redemption,"Comedy, Adventure",6.0,Crunchyroll
Attack on Titan,Romance,1.1,Disney+
The Matrix,Romance,3.0,Hulu
Descendants of the Sun,"Slice of Life, Fantasy",9.7,Hulu
One Piece,"Mystery, Supernatural, Slice of Life",9.9,Amazon Prime
The Silence of the Lambs,"Slice of Life, Sci-Fi, Adventure",9.8,Viki
Fullmetal Alchemist,"Comedy, Thriller",3.0,Hulu
Goodfellas,"Mystery, Action, Fantasy",7.9,Amazon Prime
Naruto,"Supernatural, Adventure",6.7,Hulu
Dragon Ball Z,"Slice of Life, Action",4.0,Viki
Vincenzo,"Slice of Life, Comedy",1.6,Hulu
The Silence of the Lambs,Comedy,7.3,Viki
Goodfellas,Supernatural,9.6,Viki
Goodfellas,Romance,5.9,Netflix
Attack on Titan,"Comedy, Fantasy",9.6,Crunchyroll
Squid Game,Mystery,1.2,Crunchyroll
Inception,"Horror, Slice of Life, Thriller",5.3,Amazon Prime
Attack on Titan,Adventure,3.6,Hulu
The Silence of the Lambs,"Romance, Slice of Life",4.2,Viki
Pulp Fiction,"Sci-Fi, Thriller, Horror",4.2,Viki
My Hero Academia,"Comedy, Adventure",5.7,Hulu
Dragon Ball Z,"Romance, Horror",9.7,Hulu
Naruto,"Drama, Thriller, Mystery",1.1,Disney+
Itaewon Class,Mystery,4.3,Netflix
The Shawshank Redemption,Romance,3.1,Crunchyroll
Dragon Ball Z,"Adventure, Fantasy",4.7,Disney+
Goblin,Action,6.7,Amazon Prime
Jujutsu Kaisen,Drama,1.7,Viki
Pulp Fiction,"Drama, Romance",4.5,Crunchyroll
Descendants of the Sun,Adventure,6.3,Disney+
The Shawshank Redemption,Sci-Fi,3.1,Netflix
Start-Up,"Romance, Fantasy",6.0,Netflix
Hotel del Luna,"Horror, Adventure",6.1,Hulu
Inception,"Horror, Slice of Life",1.3,Viki
The Shawshank Redemption,"Action, Horror",5.5,Amazon Prime
Start-Up,"Romance, Thriller, Mystery",8.9,Viki
Itaewon Class,"Sci-Fi, Romance",8.9,Netflix
Goblin,"Slice of Life, Fantasy, Romance",1.8,Netflix
Squid Game,"Supernatural, Sci-Fi, Adventure",3.0,Viki
Jujutsu Kaisen,"Romance, Sci-Fi",8.8,Disney+
One Piece,"Mystery, Sci-Fi",6.9,Disney+
Hotel del Luna,"Comedy, Romance",2.1,Hulu
One Piece,"Fantasy, Romance, Sci-Fi",1.4,Hulu
Fullmetal Alchemist,"Sci-Fi, Adventure",7.4,Amazon Prime
Forrest Gump,Horror,5.2,Disney+
The Matrix,"Romance, Fantasy",2.5,Disney+
Itaewon Class,"Fantasy, Slice of Life, Action",2.9,Netflix
Pulp Fiction,"Thriller, Supernatural",5.6,Viki
The Dark Knight,Action,2.6,Viki
Death Note,"Fantasy, Drama, Adventure",4.7,Netflix
It's Okay to Not Be Okay,"Drama, Action",7.5,Amazon Prime
The Godfather,"Comedy, Action, Adventure",5.1,Viki
Vincenzo,Romance,2.7,Netflix
The Matrix,"Sci-Fi, Horror, Romance",5.1,Viki
Dragon Ball Z,Action,1.6,Disney+
Forrest Gump,"Thriller, Adventure",2.6,Amazon Prime
Attack on Titan,Slice of Life,1.3,Netflix
Tokyo Ghoul,Action,5.1,Viki
Inception,"Sci-Fi, Adventure, Slice of Life",4.2,Disney+
Attack on Titan,"Supernatural, Horror",8.0,Viki
Demon Slayer,"Action, Drama, Supernatural",7.8,Crunchyroll
It's Okay to Not Be Okay,"Slice of Life, Supernatural",3.6,Crunchyroll
One Piece,"Action, Thriller",2.6,Hulu
The Godfather,Sci-Fi,9.4,Viki
Forrest Gump,"Supernatural, Sci-Fi",5.1,Crunchyroll
My Hero Academia,Supernatural,1.4,Disney+
Attack on Titan,"Thriller, Supernatural, Adventure",2.4,Viki
Naruto,"Mystery, Supernatural",5.4,Amazon Prime
The Godfather,Drama,6.8,Crunchyroll
Goodfellas,"Thriller, Slice of Life",3.2,Disney+
The Dark Knight,Romance,6.4,Hulu
Tokyo Ghoul,"Adventure, Fantasy",1.1,Crunchyroll
Fullmetal Alchemist,"Romance, Horror, Thriller",5.2,Netflix
The Silence of the Lambs,"Mystery, Horror, Adventure",2.4,Amazon Prime
Inception,"Supernatural, Drama, Thriller",9.3,Disney+
Itaewon Class,"Action, Drama",9.8,Viki
Fullmetal Alchemist,Comedy,1.5,Hulu
The Dark Knight,Romance,1.4,Disney+
Crash Landing on You,"Comedy, Supernatural, Romance",3.9,Crunchyroll
Hotel del Luna,"Horror, Comedy",1.5,Hulu
My Hero Academia,Horror,3.5,Viki
Attack on Titan,Horror,9.1,Disney+
Attack on Titan,"Horror, Drama",2.3,Disney+
It's Okay to Not Be Okay,"Fantasy, Horror, Thriller",6.9,Amazon Prime
My Hero Academia,"Horror, Thriller",2.6,Hulu
Attack on Titan,Adventure,8.3,Crunchyroll
Forrest Gump,Horror,2.9,Viki
Squid Game,"Adventure, Comedy, Supernatural",2.6,Crunchyroll
The Shawshank Redemption,Horror,4.6,Netflix
Jujutsu Kaisen,"Drama, Fantasy, Supernatural",3.3,Netflix
One Piece,Adventure,3.9,Hulu
Tokyo Ghoul,Horror,4.4,Viki
My Hero Academia,"Thriller, Supernatural",6.8,Netflix
Itaewon Class,"Supernatural, Thriller, Mystery",4.6,Hulu
Death Note,"Thriller, Supernatural, Sci-Fi",7.9,Crunchyroll
Tokyo Ghoul,"Horror, Fantasy",5.2,Amazon Prime
Demon Slayer,"Mystery, Fantasy, Action",1.6,Netflix
Dragon Ball Z,Romance,7.1,Netflix
Crash Landing on You,Action,4.2,Crunchyroll
Naruto,"Sci-Fi, Fantasy, Supernatural",6.1,Disney+
Forrest Gump,Drama,5.7,Disney+
The Godfather,"Mystery, Sci-Fi",2.3,Disney+
Pulp Fiction,Comedy,4.1,Netflix
Dragon Ball Z,Fantasy,7.3,Viki
Demon Slayer,"Sci-Fi, Slice of Life",3.4,Netflix
Attack on Titan,Drama,2.2,Disney+
Jujutsu Kaisen,Slice of Life,5.2,Crunchyroll
Fullmetal Alchemist,"Romance, Comedy",9.0,Viki
Dragon Ball Z,"Fantasy, Horror",4.8,Netflix
Demon Slayer,"Action, Supernatural",3.9,Crunchyroll
The Shawshank Redemption,Thriller,2.9,Crunchyroll
Hotel del Luna,Action,7.6,Viki
The Godfather,"Horror, Adventure",1.1,Netflix
Dragon Ball Z,Slice of Life,9.0,Disney+
Attack on Titan,"Fantasy, Horror, Slice of Life",9.3,Hulu
Jujutsu Kaisen,"Mystery, Supernatural, Adventure",6.7,Hulu
The Silence of the Lambs,"Horror, Slice of Life",9.3,Disney+
My Hero Academia,"Drama, Mystery",4.6,Disney+
Crash Landing on You,"Drama, Sci-Fi",5.6,Hulu
Goblin,"Romance, Horror",2.7,Viki
Hotel del Luna,Supernatural,8.6,Crunchyroll
Naruto,"Romance, Action",3.1,Viki
Death Note,"Fantasy, Drama, Supernatural",7.3,Disney+
The Shawshank Redemption,"Comedy, Drama, Adventure",7.1,Netflix
Vincenzo,Supernatural,8.5,Netflix
The Shawshank Redemption,"Sci-Fi, Adventure, Romance",6.1,Crunchyroll
The Godfather,"Sci-Fi, Thriller, Horror",9.7,Netflix
Naruto,"Horror, Drama",8.1,Hulu
The Matrix,Action,8.0,Amazon Prime
Inception,"Romance, Mystery",2.1,Crunchyroll
The Silence of the Lambs,"Sci-Fi, Fantasy, Supernatural",7.6,Crunchyroll
Pulp Fiction,Drama,2.8,Viki
Itaewon Class,"Thriller, Slice of Life",3.9,Hulu
Itaewon Class,"Thriller, Romance",4.2,Netflix
Inception,"Action, Supernatural",9.7,Hulu
Start-Up,"Drama, Supernatural",6.4,Viki
The Dark Knight,"Thriller, Mystery, Action",9.0,Hulu
One Piece,"Slice of Life, Supernatural, Action",6.2,Hulu
Goblin,Comedy,4.3,Hulu
Attack on Titan,"Romance, Adventure, Fantasy",8.6,Hulu
Demon Slayer,"Mystery, Sci-Fi, Romance",1.5,Netflix
Fullmetal Alchemist,"Drama, Adventure",8.2,Amazon Prime
Fullmetal Alchemist,"Action, Supernatural",2.8,Netflix
Dragon Ball Z,"Horror, Sci-Fi",4.7,Amazon Prime
The Silence of the Lambs,Slice of Life,2.1,Disney+
Hotel del Luna,"Supernatural, Comedy",7.0,Amazon Prime
Itaewon Class,"Romance, Sci-Fi, Supernatural",7.2,Disney+
Pulp Fiction,"Adventure, Horror, Action",2.5,Amazon Prime
Itaewon Class,Slice of Life,4.4,Amazon Prime
Inception,"Action, Adventure",1.1,Amazon Prime
Attack on Titan,"Thriller, Slice of Life, Romance",7.3,Hulu
Goblin,"Supernatural, Fantasy, Action",5.0,Disney+
Crash Landing on You,Sci-Fi,2.6,Amazon Prime
The Matrix,"Thriller, Comedy, Supernatural",6.9,Netflix
The Matrix,Drama,2.0,Netflix
Vincenzo,"Thriller, Fantasy",2.6,Hulu
Squid Game,"Drama, Fantasy",6.1,Netflix
It's Okay to Not Be Okay,"Action, Romance, Sci-Fi",1.0,Crunchyroll
Forrest Gump,"Slice of Life, Supernatural, Adventure",6.3,Disney+
The Matrix,"Drama, Slice of Life",6.1,Disney+
Crash Landing on You,Fantasy,9.7,Crunchyroll
My Hero Academia,Action,9.4,Crunchyroll
The Matrix,"Comedy, Slice of Life, Thriller",3.3,Crunchyroll
Hotel del Luna,"Mystery, Thriller, Adventure",5.8,Hulu
Naruto,Mystery,1.8,Crunchyroll
My Hero Academia,Drama,8.6,Crunchyroll
The Shawshank Redemption,"Slice of Life, Comedy, Mystery",4.5,Hulu
Demon Slayer,"Horror, Drama",6.2,Netflix
Inception,Adventure,9.1,Crunchyroll
Goblin,"Slice of Life, Romance, Thriller",1.2,Crunchyroll
Vincenzo,Adventure,2.4,Viki
One Piece,"Thriller, Slice of Life",7.5,Viki
Crash Landing on You,"Horror, Supernatural, Drama",7.4,Viki
Naruto,"Romance, Supernatural",4.5,Hulu
Jujutsu Kaisen,Mystery,3.2,Hulu
The Dark Knight,"Comedy, Mystery",2.0,Hulu
Squid Game,"Sci-Fi, Romance, Drama",2.9,Amazon Prime
Forrest Gump,Adventure,1.5,Hulu
Dragon Ball Z,Sci-Fi,2.6,Disney+
Squid Game,"Thriller, Adventure",6.3,Viki
One Piece,"Horror, Romance",4.2,Crunchyroll
The Silence of the Lambs,"Fantasy, Thriller, Drama",3.3,Viki
Inception,"Fantasy, Thriller",3.9,Amazon Prime
The Shawshank Redemption,"Adventure, Mystery, Action",1.5,Disney+
Naruto,Romance,2.8,Viki
It's Okay to Not Be Okay,Horror,5.8,Netflix
The Dark Knight,"Sci-Fi, Action, Slice of Life",6.1,Netflix
The Shawshank Redemption,Romance,8.5,Crunchyroll
The Silence of the Lambs,"Action, Sci-Fi",9.1,Disney+
The Silence of the Lambs,Fantasy,9.6,Hulu
The Dark Knight,Adventure,7.2,Disney+
Vincenzo,Thriller,9.6,Amazon Prime
Fullmetal Alchemist,Comedy,4.6,Crunchyroll
Descendants of the Sun,Action,2.8,Viki
Squid Game,Romance,9.5,Viki
Inception,Slice of Life,9.8,Disney+
Inception,Drama,9.9,Netflix
It's Okay to Not Be Okay,"Adventure, Comedy, Romance",3.7,Netflix
Fullmetal Alchemist,Mystery,3.9,Amazon Prime
Goodfellas,"Mystery, Action, Fantasy",6.0,Amazon Prime
Squid Game,Adventure,3.2,Hulu
Vincenzo,"Comedy, Mystery",9.7,Amazon Prime
Tokyo Ghoul,Adventure,2.8,Crunchyroll
Fullmetal Alchemist,"Adventure, Action, Drama",4.5,Netflix
Demon Slayer,"Slice of Life, Sci-Fi, Action",7.2,Hulu
Demon Slayer,"Adventure, Comedy",8.8,Crunchyroll
Goodfellas,"Action, Sci-Fi, Mystery",5.4,Disney+
The Godfather,Supernatural,8.0,Crunchyroll
Goodfellas,Fantasy,2.8,Viki
Demon Slayer,"Thriller, Action",9.5,Viki
Itaewon Class,Thriller,3.5,Hulu
My Hero Academia,Slice of Life,8.4,Viki
Hotel del Luna,"Action, Drama, Slice of Life",7.0,Netflix
The Shawshank Redemption,"Romance, Horror, Action",9.2,Crunchyroll
It's Okay to Not Be Okay,"Horror, Sci-Fi",7.7,Disney+
Goodfellas,"Drama, Comedy",9.2,Viki
